id,Type,Flavor,Filling,Size,Layers,Frosting Type,Frosting Flavor,Decoration Type,Decoration Color,Custom Message,Shape,Allergies,Special Ingredients,Packaging Type,Price,Quantity
3,177,102,Baby Shower,Strawberry,Strawberry Jam,Large,5,Cream Cheese,Chocolate,Drip Design,Purple,Message 177,Square,Dairy,Sugar-Free,Box
4,178,46,Wedding,Red Velvet,Cream Cheese,Small,2,Buttercream,Lemon,Minimalist,Purple,Message 178,Square,None,Vegan,Custom Packaging
5,179,27,Baby Shower,Strawberry,Strawberry Jam,Large,4,Buttercream,Strawberry,Classic,Purple,Message 179,Round,Dairy,None,Box
5,180,121,Graduation,Lemon,Chocolate Cream,Large,4,Buttercream,Strawberry,Flowers,Gold,Message 180,Rectangle,Nuts,Sugar-Free,Premium Box
3,181,52,Graduation,Funfetti,Strawberry Jam,Large,5,Cream Cheese,Chocolate,Minimalist,Pink,Message 181,Square,Nuts,Gluten-Free Flour,Box
4,182,44,Wedding,Red Velvet,Strawberry Jam,Medium,3,Cream Cheese,Chocolate,Flowers,Red,Message 182,Round,None,Vegan,Premium Box
1,183,103,Graduation,Funfetti,Lemon Curd,Medium,4,Buttercream,Red Velvet,Logo,Purple,Message 183,Square,None,Sugar-Free,Premium Box
3,184,107,Corporate,Coffee,Vanilla Cream,Medium,5,Cream Cheese,Lemon,Sprinkles,Blue,Message 184,Square,None,Gluten-Free Flour,Box
5,185,139,Corporate,Red Velvet,Caramel,Medium,5,Whipped Cream,Chocolate,Logo,Pink,Message 185,Round,Gluten,Vegan,Custom Packaging
2,186,41,Baby Shower,Funfetti,Strawberry Jam,Large,5,Whipped Cream,Strawberry,Classic,Black,Message 186,Round,Dairy,Gluten-Free Flour,Custom Packaging
3,187,44,Baby Shower,Chocolate,Chocolate Cream,Medium,3,Buttercream,Coffee,Hearts,Red,Message 187,Rectangle,Dairy,Vegan,Custom Packaging
4,188,45,Baby Shower,Red Velvet,Vanilla Cream,Medium,1,Cream Cheese,Funfetti,Drip Design,Gold,Message 188,Heart,Nuts,Sugar-Free,Custom Packaging
1,189,100,Engagement,Lemon,Chocolate Cream,Large,3,Whipped Cream,Funfetti,Flowers,White,Message 189,Rectangle,Dairy,Sugar-Free,Box
2,190,118,Corporate,Red Velvet,Caramel,Medium,5,Cream Cheese,Lemon,Flowers,Purple,Message 190,Heart,Gluten,Vegan,Box
2,191,28,Wedding,Funfetti,Strawberry Jam,Large,4,Buttercream,Vanilla,Sprinkles,Ivory,Message 191,Rectangle,Gluten,Sugar-Free,Custom Packaging
2,192,39,Wedding,Strawberry,Lemon Curd,Small,4,Whipped Cream,Strawberry,Drip Design,Pink,Message 192,Heart,Dairy,Sugar-Free,Box
5,193,51,Baby Shower,Chocolate,Caramel,Medium,4,Cream Cheese,Funfetti,Minimalist,Red,Message 193,Round,Gluten,None,Box
2,194,45,Engagement,Strawberry,Vanilla Cream,Large,5,Whipped Cream,Funfetti,Classic,White,Message 194,Heart,Gluten,Gluten-Free Flour,Premium Box
2,195,65,Birthday,Coffee,Caramel,Medium,5,Cream Cheese,Lemon,Drip Design,Red,Message 195,Rectangle,None,None,Custom Packaging
1,196,67,Engagement,Lemon,Cream Cheese,Medium,3,Whipped Cream,Coffee,Classic,White,Message 196,Round,Nuts,Vegan,Custom Packaging
1,197,128,Wedding,Red Velvet,Chocolate Cream,Large,3,Buttercream,Red Velvet,Minimalist,Red,Message 197,Square,Dairy,Vegan,Custom Packaging
1,198,67,Anniversary,Vanilla,Cream Cheese,Large,5,Buttercream,Chocolate,Flowers,Purple,Message 198,Heart,Dairy,Sugar-Free,Custom Packaging
3,199,19,Valentine,Strawberry,Mocha Cream,Large,5,Whipped Cream,Vanilla,Minimalist,Gold,Message 199,Square,Dairy,None,Box
3,200,122,Wedding,Lemon,Cream Cheese,Large,4,Buttercream,Coffee,Sprinkles,Purple,Message 200,Rectangle,Dairy,Vegan,Premium Box
33,2,23,Birthday,Chocolate,Vanilla,large,2,Buttercream,Vanilla,Sprinkles,Blue,Happy Birthday,Round,None,None,qwef
