id,type,flavor,filling,size,layers,frosting type,frosting flavor,decoration type,decoration color,custom message,shape,allergies,special ingredients,packaging type,price,quantity
173,Engagement,Funfetti,Mocha Cream,Small,4,Cream Cheese,Coffee,Classic,Pink,Message 173,Round,Gluten,Sugar-Free,Premium Box,46.12,5
174,Engagement,Lemon,Vanilla Cream,Small,1,Buttercream,Red Velvet,Classic,Pink,Message 174,Rectangle,Dairy,Gluten-Free Flour,Premium Box,71.72,2
175,Corporate,Coffee,Vanilla Cream,Small,1,Whipped Cream,Lemon,Classic,Blue,Message 175,Rectangle,Nuts,Sugar-Free,Custom Packaging,44.69,4
176,Engagement,Lemon,Vanilla Cream,Medium,4,Buttercream,Lemon,Sprinkles,Blue,Message 176,Square,Dairy,Sugar-Free,Custom Packaging,124.64,3
177,Baby Shower,Strawberry,Strawberry Jam,Large,5,Cream Cheese,Chocolate,Drip Design,Purple,Message 177,Square,Dairy,Sugar-Free,Box,102.09,3
178,Wedding,Red Velvet,Cream Cheese,Small,2,Buttercream,Lemon,Minimalist,Purple,Message 178,Square,None,Vegan,Custom Packaging,46.57,4
179,Baby Shower,Strawberry,Strawberry Jam,Large,4,Buttercream,Strawberry,Classic,Purple,Message 179,Round,Dairy,None,Box,27.69,5
180,Graduation,Lemon,Chocolate Cream,Large,4,Buttercream,Strawberry,Flowers,Gold,Message 180,Rectangle,Nuts,Sugar-Free,Premium Box,121.82,5
181,Graduation,Funfetti,Strawberry Jam,Large,5,Cream Cheese,Chocolate,Minimalist,Pink,Message 181,Square,Nuts,Gluten-Free Flour,Box,52.02,3
182,Wedding,Red Velvet,Strawberry Jam,Medium,3,Cream Cheese,Chocolate,Flowers,Red,Message 182,Round,None,Vegan,Premium Box,44.83,4
183,Graduation,Funfetti,Lemon Curd,Medium,4,Buttercream,Red Velvet,Logo,Purple,Message 183,Square,None,Sugar-Free,Premium Box,103.76,1
184,Corporate,Coffee,Vanilla Cream,Medium,5,Cream Cheese,Lemon,Sprinkles,Blue,Message 184,Square,None,Gluten-Free Flour,Box,107.76,3
185,Corporate,Red Velvet,Caramel,Medium,5,Whipped Cream,Chocolate,Logo,Pink,Message 185,Round,Gluten,Vegan,Custom Packaging,139.62,5
186,Baby Shower,Funfetti,Strawberry Jam,Large,5,Whipped Cream,Strawberry,Classic,Black,Message 186,Round,Dairy,Gluten-Free Flour,Custom Packaging,41.15,2
187,Baby Shower,Chocolate,Chocolate Cream,Medium,3,Buttercream,Coffee,Hearts,Red,Message 187,Rectangle,Dairy,Vegan,Custom Packaging,44.45,3
188,Baby Shower,Red Velvet,Vanilla Cream,Medium,1,Cream Cheese,Funfetti,Drip Design,Gold,Message 188,Heart,Nuts,Sugar-Free,Custom Packaging,45.1,4
189,Engagement,Lemon,Chocolate Cream,Large,3,Whipped Cream,Funfetti,Flowers,White,Message 189,Rectangle,Dairy,Sugar-Free,Box,100.65,1
190,Corporate,Red Velvet,Caramel,Medium,5,Cream Cheese,Lemon,Flowers,Purple,Message 190,Heart,Gluten,Vegan,Box,118.48,2
191,Wedding,Funfetti,Strawberry Jam,Large,4,Buttercream,Vanilla,Sprinkles,Ivory,Message 191,Rectangle,Gluten,Sugar-Free,Custom Packaging,28.84,2
192,Wedding,Strawberry,Lemon Curd,Small,4,Whipped Cream,Strawberry,Drip Design,Pink,Message 192,Heart,Dairy,Sugar-Free,Box,39.53,2
193,Baby Shower,Chocolate,Caramel,Medium,4,Cream Cheese,Funfetti,Minimalist,Red,Message 193,Round,Gluten,None,Box,51.42,5
194,Engagement,Strawberry,Vanilla Cream,Large,5,Whipped Cream,Funfetti,Classic,White,Message 194,Heart,Gluten,Gluten-Free Flour,Premium Box,45.32,2
195,Birthday,Coffee,Caramel,Medium,5,Cream Cheese,Lemon,Drip Design,Red,Message 195,Rectangle,None,None,Custom Packaging,65.95,2
196,Engagement,Lemon,Cream Cheese,Medium,3,Whipped Cream,Coffee,Classic,White,Message 196,Round,Nuts,Vegan,Custom Packaging,67.21,1
197,Wedding,Red Velvet,Chocolate Cream,Large,3,Buttercream,Red Velvet,Minimalist,Red,Message 197,Square,Dairy,Vegan,Custom Packaging,128.18,1
198,Anniversary,Vanilla,Cream Cheese,Large,5,Buttercream,Chocolate,Flowers,Purple,Message 198,Heart,Dairy,Sugar-Free,Custom Packaging,67.36,1
199,Valentine,Strawberry,Mocha Cream,Large,5,Whipped Cream,Vanilla,Minimalist,Gold,Message 199,Square,Dairy,None,Box,19.56,3
200,Wedding,Lemon,Cream Cheese,Large,4,Buttercream,Coffee,Sprinkles,Purple,Message 200,Rectangle,Dairy,Vegan,Premium Box,122.35,3
